or you.
  import pynvml
Biblioteca pynvml encontrada, mas não foi possível inicializar.
[INFO] [1761680917.491638508] [performance_monitor_node]: CPU: 33.4%, RAM: 1257 MB
[INFO] [1761680918.492747672] [performance_monitor_node]: CPU: 36.1%, RAM: 1262 MB
[INFO] [1761680919.493366116] [performance_monitor_node]: CPU: 31.5%, RAM: 1259 MB
[INFO] [1761680920.491725889] [performance_monitor_node]: CPU: 32.7%, RAM: 1258 MB
[INFO] [1761680921.493142084] [performance_monitor_node]: CPU: 35.9%, RAM: 1250 MB
[INFO] [1761680922.490298638] [performance_monitor_node]: CPU: 29.2%, RAM: 1254 MB
[INFO] [1761680923.489931201] [performance_monitor_node]: CPU: 34.4%, RAM: 1254 MB
[INFO] [1761680924.489955201] [performance_monitor_node]: CPU: 27.0%, RAM: 1257 MB
[INFO] [1761680925.490206026] [performance_monitor_node]: CPU: 40.3%, RAM: 1257 MB
[INFO] [1761680926.489890032] [performance_monitor_node]: CPU: 32.7%, RAM: 1257 MB
[INFO] [1761680927.489894838] [performance_monitor_node]: CPU: 24.0%, RAM: 1257 MB
[INFO] [1761680928.490061481] [performance_monitor_node]: CPU: 22.8%, RAM: 1264 MB
[INFO] [1761680929.490899477] [performance_monitor_node]: CPU: 28.7%, RAM: 1265 MB
[INFO] [1761680930.490994795] [performance_monitor_node]: CPU: 27.4%, RAM: 1270 MB
[INFO] [1761680931.489932114] [performance_monitor_node]: CPU: 38.5%, RAM: 1268 MB
[INFO] [1761680932.489923624] [performance_monitor_node]: CPU: 25.4%, RAM: 1268 MB
[INFO] [1761680933.489969060] [performance_monitor_node]: CPU: 27.1%, RAM: 1267 MB
[INFO] [1761680934.489963037] [performance_monitor_node]: CPU: 38.0%, RAM: 1270 MB
[INFO] [1761680935.489953967] [performance_monitor_node]: CPU: 39.2%, RAM: 1268 MB
[INFO] [1761680936.490097819] [performance_monitor_node]: CPU: 33.2%, RAM: 1271 MB
[INFO] [1761680937.490701067] [performance_monitor_node]: CPU: 32.6%, RAM: 1273 MB
[INFO] [1761680938.489914783] [performance_monitor_node]: CPU: 34.5%, RAM: 1276 MB
[INFO] [1761680939.489957596] [performance_monitor_node]: CPU: 29.0%, RAM: 1278 MB
[INFO] [1761680940.490985512] [performance_monitor_node]: CPU: 30.1%, RAM: 1279 MB
[INFO] [1761680941.490376273] [performance_monitor_node]: CPU: 38.5%, RAM: 1280 MB
[INFO] [1761680942.489929866] [performance_monitor_node]: CPU: 35.4%, RAM: 1280 MB
[INFO] [1761680943.491106381] [performance_monitor_node]: CPU: 27.3%, RAM: 1280 MB
[INFO] [1761680944.492622646] [performance_monitor_node]: CPU: 37.3%, RAM: 1282 MB
[INFO] [1761680945.491222335] [performance_monitor_node]: CPU: 28.6%, RAM: 1280 MB
[INFO] [1761680946.492282972] [performance_monitor_node]: CPU: 29.0%, RAM: 1280 MB
[INFO] [1761680947.491382987] [performance_monitor_node]: CPU: 32.7%, RAM: 1286 MB
[INFO] [1761680948.491167290] [performance_monitor_node]: CPU: 31.4%, RAM: 1281 MB
[INFO] [1761680949.493063894] [performance_monitor_node]: CPU: 30.8%, RAM: 1281 MB
[INFO] [1761680950.495179373] [performance_monitor_node]: CPU: 31.4%, RAM: 1281 MB
[INFO] [1761680951.497234855] [performance_monitor_node]: CPU: 35.4%, RAM: 1281 MB
[INFO] [1761680952.491576893] [performance_monitor_node]: CPU: 42.7%, RAM: 1280 MB
[INFO] [1761680953.490387143] [performance_monitor_node]: CPU: 39.1%, RAM: 1281 MB
[INFO] [1761680954.490273964] [performance_monitor_node]: CPU: 36.8%, RAM: 1286 MB
[INFO] [1761680955.490123614] [performance_monitor_node]: CPU: 30.0%, RAM: 1294 MB
[INFO] [1761680956.490037968] [performance_monitor_node]: CPU: 33.4%, RAM: 1295 MB
[INFO] [1761680957.490293942] [performance_monitor_node]: CPU: 24.7%, RAM: 1292 MB
[INFO] [1761680958.490011022] [performance_monitor_node]: CPU: 27.8%, RAM: 1293 MB
[INFO] [1761680959.489978595] [performance_monitor_node]: CPU: 35.3%, RAM: 1300 MB
[INFO] [1761680960.489979827] [performance_monitor_node]: CPU: 31.9%, RAM: 1294 MB
[INFO] [1761680961.490478487] [performance_monitor_node]: CPU: 28.9%, RAM: 1294 MB
[INFO] [1761680962.490351798] [performance_monitor_node]: CPU: 26.4%, RAM: 1300 MB
[INFO] [1761680963.490205274] [performance_monitor_node]: CPU: 36.2%, RAM: 1300 MB
[INFO] [1761680964.489930175] [performance_monitor_node]: CPU: 35.2%, RAM: 1305 MB
[INFO] [1761680965.489993029] [performance_monitor_node]: CPU: 26.0%, RAM: 1308 MB
[INFO] [1761680966.490016536] [performance_monitor_node]: CPU: 36.5%, RAM: 1305 MB
[INFO] [1761680967.489932585] [performance_monitor_node]: CPU: 30.4%, RAM: 1310 MB
[INFO] [1761680968.489906646] [performance_monitor_node]: CPU: 29.5%, RAM: 1315 MB
[INFO] [1761680969.489931460] [performance_monitor_node]: CPU: 33.8%, RAM: 1305 MB
[INFO] [1761680970.489911324] [performance_monitor_node]: CPU: 35.5%, RAM: 1312 MB
[INFO] [1761680971.489900371] [performance_monitor_node]: CPU: 35.3%, RAM: 1317 MB
[INFO] [1761680972.490002364] [performance_monitor_node]: CPU: 27.5%, RAM: 1317 MB
[INFO] [1761680973.492315655] [performance_monitor_node]: CPU: 35.9%, RAM: 1317 MB
[INFO] [1761680974.490441602] [performance_monitor_node]: CPU: 34.3%, RAM: 1318 MB
[INFO] [1761680975.491401953] [performance_monitor_node]: CPU: 28.0%, RAM: 1312 MB
[INFO] [1761680976.492571834] [performance_monitor_node]: CPU: 30.0%, RAM: 1312 MB
[INFO] [1761680977.493239456] [performance_monitor_node]: CPU: 35.1%, RAM: 1314 MB
[INFO] [1761680978.493120411] [performance_monitor_node]: CPU: 32.2%, RAM: 1314 MB
[INFO] [1761680979.494765259] [performance_monitor_node]: CPU: 27.2%, RAM: 1315 MB
[INFO] [1761680980.492673303] [performance_monitor_node]: CPU: 33.1%, RAM: 1318 MB
[INFO] [1761680981.490381213] [performance_monitor_node]: CPU: 38.1%, RAM: 1318 MB
[INFO] [1761680982.491893812] [performance_monitor_node]: CPU: 40.8%, RAM: 1320 MB
[INFO] [1761680983.489935230] [performance_monitor_node]: CPU: 40.7%, RAM: 1328 MB
[INFO] [1761680984.491208201] [performance_monitor_node]: CPU: 33.2%, RAM: 1335 MB
