[INFO] [1761067549.443285988] [performance_monitor_node]: 🚀 Monitor de performance iniciado. Hardware: cpu_only.
[INFO] [1761067549.443785973] [performance_monitor_node]: Coletando dados... Pressione Ctrl+C para parar e gerar o relatório.
[INFO] [1761067659.427118779] [performance_monitor_node]: CPU: 58.9%, RAM: 2638 MB
[INFO] [1761067660.421664398] [performance_monitor_node]: CPU: 80.0%, RAM: 2698 MB
[INFO] [1761067661.421274971] [performance_monitor_node]: CPU: 60.3%, RAM: 2691 MB
[INFO] [1761067662.421759796] [performance_monitor_node]: CPU: 75.0%, RAM: 2678 MB
[INFO] [1761067663.421634907] [performance_monitor_node]: CPU: 59.5%, RAM: 2683 MB
[INFO] [1761067664.422793586] [performance_monitor_node]: CPU: 61.9%, RAM: 2643 MB
[INFO] [1761067665.426754009] [performance_monitor_node]: CPU: 77.6%, RAM: 2607 MB
[INFO] [1761067666.421572555] [performance_monitor_node]: CPU: 66.1%, RAM: 2577 MB
[INFO] [1761067667.421513146] [performance_monitor_node]: CPU: 71.8%, RAM: 2571 MB
[INFO] [1761067668.421948523] [performance_monitor_node]: CPU: 61.0%, RAM: 2645 MB
[INFO] [1761067669.422023926] [performance_monitor_node]: CPU: 58.6%, RAM: 2694 MB
[INFO] [1761067670.421421092] [performance_monitor_node]: CPU: 74.1%, RAM: 2696 MB
[INFO] [1761067671.423487872] [performance_monitor_node]: CPU: 61.7%, RAM: 2708 MB
[INFO] [1761067672.421419672] [performance_monitor_node]: CPU: 62.6%, RAM: 2670 MB
[INFO] [1761067673.421973577] [performance_monitor_node]: CPU: 62.9%, RAM: 2685 MB
[INFO] [1761067674.422319720] [performance_monitor_node]: CPU: 69.6%, RAM: 2722 MB
[INFO] [1761067675.421459210] [performance_monitor_node]: CPU: 63.3%, RAM: 2746 MB
[INFO] [1761067676.421531097] [performance_monitor_node]: CPU: 59.3%, RAM: 2761 MB
[INFO] [1761067677.421954826] [performance_monitor_node]: CPU: 61.2%, RAM: 2776 MB
[INFO] [1761067678.426947336] [performance_monitor_node]: CPU: 62.0%, RAM: 2685 MB
[INFO] [1761067679.422648015] [performance_monitor_node]: CPU: 77.7%, RAM: 2675 MB
[INFO] [1761067680.432192543] [performance_monitor_node]: CPU: 64.6%, RAM: 2707 MB
[INFO] [1761067681.422802134] [performance_monitor_node]: CPU: 61.5%, RAM: 2699 MB
[INFO] [1761067682.423120857] [performance_monitor_node]: CPU: 55.0%, RAM: 2693 MB
[INFO] [1761067683.422520269] [performance_monitor_node]: CPU: 79.7%, RAM: 2721 MB
[INFO] [1761067684.426153742] [performance_monitor_node]: CPU: 66.1%, RAM: 2714 MB
[INFO] [1761067685.424189909] [performance_monitor_node]: CPU: 64.7%, RAM: 2717 MB
[INFO] [1761067686.422264630] [performance_monitor_node]: CPU: 62.1%, RAM: 2670 MB
[INFO] [1761067687.423867463] [performance_monitor_node]: CPU: 74.6%, RAM: 2630 MB
[INFO] [1761067688.425038142] [performance_monitor_node]: CPU: 65.5%, RAM: 2678 MB
[INFO] [1761067689.421640610] [performance_monitor_node]: CPU: 62.1%, RAM: 2686 MB
[INFO] [1761067690.421679434] [performance_monitor_node]: CPU: 69.1%, RAM: 2690 MB
[INFO] [1761067691.421349027] [performance_monitor_node]: CPU: 61.4%, RAM: 2684 MB
[INFO] [1761067692.425516090] [performance_monitor_node]: CPU: 73.3%, RAM: 2677 MB
[INFO] [1761067693.422407528] [performance_monitor_node]: CPU: 70.5%, RAM: 2721 MB
[INFO] [1761067694.421307094] [performance_monitor_node]: CPU: 79.7%, RAM: 2777 MB
[INFO] [1761067695.421394705] [performance_monitor_node]: CPU: 69.0%, RAM: 2699 MB
[INFO] [1761067696.422524749] [performance_monitor_node]: CPU: 62.6%, RAM: 2756 MB
[INFO] [1761067697.423748986] [performance_monitor_node]: CPU: 73.0%, RAM: 2751 MB
[INFO] [1761067698.422318781] [performance_monitor_node]: CPU: 55.6%, RAM: 2748 MB
[INFO] [1761067699.422717091] [performance_monitor_node]: CPU: 72.2%, RAM: 2759 MB
[INFO] [1761067700.423973349] [performance_monitor_node]: CPU: 60.8%, RAM: 2699 MB
[INFO] [1761067701.424034944] [performance_monitor_node]: CPU: 62.0%, RAM: 2735 MB
[INFO] [1761067702.422685104] [performance_monitor_node]: CPU: 65.4%, RAM: 2723 MB
[INFO] [1761067703.423070330] [performance_monitor_node]: CPU: 60.9%, RAM: 2682 MB
[INFO] [1761067704.425506860] [performance_monitor_node]: CPU: 78.1%, RAM: 2677 MB
[INFO] [1761067705.421314718] [performance_monitor_node]: CPU: 63.2%, RAM: 2704 MB
[INFO] [1761067706.421459108] [performance_monitor_node]: CPU: 70.3%, RAM: 2769 MB
[INFO] [1761067707.424672730] [performance_monitor_node]: CPU: 49.7%, RAM: 2748 MB
[INFO] [1761067708.422518883] [performance_monitor_node]: CPU: 73.6%, RAM: 2737 MB
[INFO] [1761067709.421449137] [performance_monitor_node]: CPU: 59.3%, RAM: 2770 MB
[INFO] [1761067710.421436646] [performance_monitor_node]: CPU: 68.7%, RAM: 2793 MB
[INFO] [1761067711.421690276] [performance_monitor_node]: CPU: 70.4%, RAM: 2766 MB
[INFO] [1761067712.423706863] [performance_monitor_node]: CPU: 55.8%, RAM: 2759 MB
[INFO] [1761067713.424492625] [performance_monitor_node]: CPU: 61.3%, RAM: 2718 MB
[INFO] [1761067714.422517197] [performance_monitor_node]: CPU: 60.7%, RAM: 2759 MB
[INFO] [1761067715.426007227] [performance_monitor_node]: CPU: 59.5%, RAM: 2742 MB
[INFO] [1761067716.437272962] [performance_monitor_node]: CPU: 69.0%, RAM: 2713 MB
[INFO] [1761067717.428015230] [performance_monitor_node]: CPU: 69.7%, RAM: 2752 MB
[INFO] [1761067718.423038197] [performance_monitor_node]: CPU: 66.8%, RAM: 2718 MB
[INFO] [1761067719.421687093] [performance_monitor_node]: CPU: 54.6%, RAM: 2722 MB
[INFO] [1761067720.427748190] [performance_monitor_node]: CPU: 73.2%, RAM: 2708 MB
[INFO] [1761067721.424056675] [performance_monitor_node]: CPU: 66.0%, RAM: 2707 MB
[INFO] [1761067722.421410507] [performance_monitor_node]: CPU: 83.1%, RAM: 2737 MB
[INFO] [1761067723.423898692] [performance_monitor_node]: CPU: 53.9%, RAM: 2710 MB
[INFO] [1761067724.426465077] [performance_monitor_node]: CPU: 80.8%, RAM: 2721 MB
[INFO] [1761067725.423619962] [performance_monitor_node]: CPU: 81.7%, RAM: 2686 MB
[INFO] [1761067726.421804100] [performance_monitor_node]: CPU: 66.9%, RAM: 2693 MB
[INFO] [1761067727.423882395] [performance_monitor_node]: CPU: 74.1%, RAM: 2725 MB
[INFO] [1761067728.422106645] [performance_monitor_node]: CPU: 63.5%, RAM: 2769 MB
[INFO] [1761067729.421696573] [performance_monitor_node]: CPU: 72.3%, RAM: 2740 MB
[INFO] [1761067730.421849503] [performance_monitor_node]: CPU: 61.5%, RAM: 2708 MB
[INFO] [1761067731.421616035] [performance_monitor_node]: CPU: 71.5%, RAM: 2739 MB
[INFO] [1761067732.421337646] [performance_monitor_node]: CPU: 68.1%, RAM: 2788 MB
[INFO] [1761067733.421833236] [performance_monitor_node]: CPU: 52.3%, RAM: 2829 MB
[INFO] [1761067734.421850921] [performance_monitor_node]: CPU: 76.1%, RAM: 2853 MB
[INFO] [1761067735.423525163] [performance_monitor_node]: CPU: 57.5%, RAM: 2779 MB
